,source,target,weight
4877,1587,147,1.56
4878,1587,1011,3.12
4879,1587,1043,0.56
4880,1587,2246,2.96
4881,1587,2440,1.72
4882,1587,2499,1.72
4883,1587,3290,1.72
4884,1588,2878,0.384
4885,1589,34,0.96
4886,1590,2366,2.96
4887,1591,2164,1.16
4888,1591,2502,3.12
4889,1592,310,2.96
4890,1592,1736,3.12
4891,1592,1780,0.32
4892,1592,1818,3.12
4893,1592,2275,2.12
4894,1592,2814,3.12
4895,1593,233,1.72
4896,1593,931,1.12
4897,1594,1844,1.12
4898,1595,2630,1.96
4899,1597,1164,3.12
4900,1598,1379,3.12
4901,1602,73,3.12
4902,1602,308,3.12
4903,1606,30,2
4904,1606,84,2.96
4905,1606,147,3.12
4906,1606,367,3.468994966
4907,1606,382,3.468994966
4908,1606,734,1.72
4909,1606,1030,2.7472
4910,1606,1051,3.12
4911,1606,1789,3.12
4912,1606,3752,3.12
4913,1607,1029,3.12
4914,1607,1206,2.12
4915,1607,2086,2.96
4916,1607,2236,1.72
4917,1607,3201,2.12
4918,1608,512,1.72
4919,1608,975,2
4920,1608,1892,3.12
4921,1608,3869,3.12
4922,1609,1067,4.8672
4923,1609,1785,3.12
4924,1609,1984,3.12
4925,1609,2071,2.12
4926,1610,509,1.72
4927,1610,1329,44.96785627
